MP ID,Material,LO Frequency,,,TO Frequency,,,Number,Reference,Secondary Reference/Notes
2624,AlSb,340,,,319,,,22,10.1002/pssb.2220720126,
2691,CdSe ,"209, 417, 624",,,170,,,59,"Nanoscale, 2016, 8, 17204–17212 | 17205",
2730,HgTe,138,,,118,,,57,http://photonics.intec.ugent.be/education/ivpv/res_handbook/v2ch36.pdf,
2795,ZrC,433.6,,,433.6,,,16,,
3614,KTaO3,,,,"58 , 198 , 551 ",,,3,http://materials.springer.com/lb/docs/sm_lbs_978-3-540-31349-6_30,
3834,BaZrO3,,,,"210, 505",,,85,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
4019,CaTiO3,"133, 427, 866",,,"188, 610",,,80,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
4514,NaNbO3,"101, 379, 928",,,"115, 556",,,82,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
4651,SrTiO3,"171, 474, 795",,,"165, 546",,,79,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
5020,BaTiO3,"180, 468, 717",,,"181, 487",,,78,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
7475,KNbO3,"190, 418, 826",,,"198, 521",,,81,"Zhong, W., King-Smith, R. and Vanderbilt, D. (1994). Giant LO-TO splittings in perovskite ferroelectrics. Physical Review Letters, 72(22), pp.3618-3621.",
10695,ZnS,350,,,273,,,24,10.1002/pssb.2220720128,
19717,PbTe,114,,,32,,,51,http://photonics.intec.ugent.be/education/ivpv/res_handbook/v2ch36.pdf,
20012,InSb,192.11,,,179.95,,,13,https://doi.org/10.1016/j.ssc.2005.08.030,
20305,InAs,240.2,,,217.36,,,12,https://doi.org/10.1016/j.ssc.2005.08.030,
